feature,class
"[-6.94500854e+02  8.17331696e+01 -4.69072952e+01  1.87908516e+01
 -3.76888733e+01  1.00164566e+01 -4.51304779e+01 -1.50603504e+01
 -2.12927361e+01 -1.47437525e+01 -1.80760880e+01 -2.27457047e+01
 -3.03436089e+00 -1.41641951e+01 -2.90761352e+00 -2.10688152e+01
 -1.21975958e+00 -4.73624468e+00 -4.41915989e+00 -7.83963299e+00
 -6.59667587e+00  5.01149225e+00 -2.65732145e+00  1.11792541e+00
 -2.47565031e+00  7.60257196e+00  8.37780476e-01  2.41155267e+00
  1.09000039e+00  4.18869972e+00  4.50883341e+00 -2.02862430e+00
  4.72005665e-01  5.25700450e-01  8.66518402e+00  2.36323190e+00
  4.30530024e+00  3.44064188e+00  7.20891142e+00  3.82342958e+00]",dislike_to_learn
"[-7.6508453e+02  7.3037628e+01 -3.5624687e+01  2.8327684e+01
 -3.8202503e+01  1.5853090e+01 -3.0313501e+01  5.4288397e+00
 -2.1876757e+01 -9.8820553e+00 -9.3682699e+00 -1.7703022e+01
 -4.8370805e+00 -2.2185949e+01 -4.1884527e+00 -1.7235071e+01
 -1.5123377e+00 -1.1788959e+01 -3.7916179e+00 -5.8690424e+00
 -6.6037588e+00 -1.0096664e+00 -3.0758221e+00  3.7929399e+00
 -5.8276291e+00  4.2212524e+00 -4.1668272e+00  1.6517991e+00
 -5.0545144e-01  1.2391697e+00  1.2082192e+00  1.0840403e+00
  6.1561604e+00  2.8681970e+00  9.2950287e+00  3.1560249e+00
  8.5575104e+00  5.6304770e+00  8.4895887e+00  5.1381364e+00]",dislike_to_learn
"[-770.0587      73.25779    -35.258       35.211334   -31.91857
   16.614384   -28.968859    -1.1432602  -24.41027    -11.48255
  -11.472514   -18.12113     -4.64685    -21.736618    -2.6482422
  -15.355467    -2.6669328   -9.958509    -1.3740025   -5.3569365
   -7.3507323   -1.9566796   -6.9788475    1.5965414   -6.170225
    1.9242783   -3.6401062    2.628575     1.0367405    2.6772053
    3.0340023    1.1849486    4.972042     0.8988148    6.647228
    2.4761317    7.2884994    3.650093     4.8903527    3.730788 ]",dislike_to_learn
"[-7.2832935e+02  7.1925896e+01 -2.1925377e+01  3.0627323e+01
 -3.1730972e+01  1.3159581e+01 -3.3707928e+01 -5.7736921e+00
 -2.6261944e+01 -1.1673446e+01 -1.2605539e+01 -1.9178867e+01
 -1.0431597e+01 -2.4330265e+01 -4.5441284e+00 -1.8722502e+01
 -1.1063102e+00 -1.1629130e+01 -4.3944650e+00 -6.8826275e+00
 -7.4374614e+00 -4.2377234e-01 -8.4153862e+00  3.2537777e+00
 -3.6777363e+00  3.0229537e+00 -3.2111497e+00  1.5543609e+00
 -1.6075583e+00 -8.1613642e-01  2.7933483e+00  2.0681539e+00
  8.5181160e+00  4.6052566e+00  8.2092113e+00  2.1314578e+00
  5.6977959e+00  4.4268928e+00  7.1690655e+00  6.0835643e+00]",dislike_to_learn
"[-6.3760278e+02  7.3678200e+01 -3.8586246e+01 -9.0852175e+00
 -3.1442671e+01  2.1595376e+00 -2.9450705e+01 -8.6538134e+00
 -1.8332468e+01 -1.7507700e+01 -1.3849811e+01 -2.0130136e+01
 -1.2493505e+01 -1.7621685e+01 -7.7775655e+00 -1.6916491e+01
 -7.6397271e+00 -8.9689474e+00 -6.5233474e+00 -5.0294032e+00
 -1.0426190e+00  3.8951576e-01 -3.0338132e+00  5.0710292e+00
 -1.3650479e+00  7.6130943e+00  5.7082434e+00  6.8813167e+00
  7.5401683e+00  1.7726617e+00  1.3996030e+00  9.0897912e-01
  6.0736003e+00  4.0006733e+00  5.1584411e+00  2.9217589e+00
  4.0187316e+00  4.3361073e+00  3.3032415e+00  3.3344963e+00]",dislike_to_learn
"[-7.6653198e+02  6.9944092e+01 -2.6869017e+01  2.7231649e+01
 -3.2906437e+01  9.4349642e+00 -2.8597893e+01 -6.4462066e-01
 -2.0953684e+01 -1.2175485e+01 -1.1246582e+01 -1.8028276e+01
 -6.9878678e+00 -1.9466702e+01 -1.6217979e+00 -1.5261380e+01
 -3.5884721e+00 -1.0659444e+01 -4.5221591e+00 -6.9071279e+00
 -7.0397539e+00 -7.5812265e-02 -5.6907945e+00  3.8201249e+00
 -2.8890588e+00  3.4724157e+00 -2.0508504e+00  3.1950324e+00
  1.7040536e+00  2.5356681e+00  4.8484530e+00  2.3668692e+00
  5.9737210e+00  1.5788592e+00  6.9036307e+00  1.8521820e+00
  5.6593456e+00  3.6977413e+00  4.3664899e+00  3.8780637e+00]",dislike_to_learn
"[-7.1310046e+02  4.4588623e+01 -1.4694318e+01  2.7075775e+00
 -7.8376889e+00 -3.6928098e+00 -1.1192284e+01 -4.8924909e+00
 -9.7810688e+00 -1.1101389e+01 -1.2902397e+01 -1.3814942e+01
 -6.3611107e+00 -1.2665351e+01 -1.0102933e+01 -8.3440466e+00
 -6.4902329e+00 -6.0701756e+00 -3.4470103e+00 -2.1445980e+00
 -2.7279081e+00 -9.8462820e-01 -2.6481164e+00  5.3274274e-01
  2.2218964e+00  1.9659696e+00  1.4274405e+00  2.3195472e+00
  2.1597431e+00  2.0361462e+00  3.3584132e+00  3.7710738e+00
  4.1427298e+00  3.7091997e+00  3.7008669e+00  3.0185821e+00
  3.1872160e+00  2.8154829e+00  3.9777966e+00  3.4073734e+00]",dislike_to_learn
"[-6.92225891e+02  4.21372032e+01 -3.43386536e+01  1.70849724e+01
 -2.78310833e+01 -8.54987335e+00 -2.08696728e+01 -1.16755495e+01
 -2.03160896e+01 -1.17002935e+01 -1.26567383e+01 -1.03413649e+01
 -6.03058100e+00 -1.35213737e+01 -3.16141748e+00 -1.44177704e+01
 -5.77465296e-01 -6.18049097e+00 -2.48427224e+00  1.06491256e+00
 -3.84733701e+00  8.43892455e-01 -3.40919995e+00 -2.39687800e+00
 -8.02310848e+00  1.51471114e+00  3.67193723e+00  8.72902775e+00
  1.18095665e+01  8.21479321e+00  6.13443422e+00  2.84364372e-01
 -6.58025563e-01 -3.36140108e+00  2.99428558e+00  4.74220991e+00
  4.71904135e+00  1.68612123e+00  1.48732275e-01  4.20573616e+00]",dislike_to_learn
"[-7.3918774e+02  7.4243317e+01 -3.9925903e+01  2.4856363e+01
 -3.7677685e+01  8.0328617e+00 -3.3152405e+01 -8.1706944e+00
 -2.5359840e+01 -1.3556624e+01 -1.2549927e+01 -2.0918434e+01
 -7.9658556e+00 -2.0528690e+01 -1.4399503e+00 -1.4588745e+01
 -3.3980155e+00 -9.5777674e+00 -2.5214005e+00 -3.0466685e+00
 -4.3272982e+00  3.1915727e+00 -1.2893040e+00  5.8386970e+00
  1.1435390e+00  8.0256634e+00  4.9032292e-01  7.0607376e+00
  4.5261865e+00  5.2409534e+00  7.3804827e+00  2.0679622e+00
  5.7174921e+00  2.5521569e+00  7.9875574e+00  2.4816756e+00
  4.9758320e+00  1.4244405e+00  1.9418139e+00  1.4753128e+00]",dislike_to_learn
"[-6.8446661e+02  8.6852219e+01 -2.2097857e+01  2.0254665e+01
 -3.1402559e+01  1.0522158e+01 -2.7454090e+01 -4.2155252e+00
 -2.0570091e+01 -1.3865414e+01 -1.4202654e+01 -1.9219215e+01
 -1.2244841e+01 -2.1930180e+01 -6.5059853e+00 -2.4033806e+01
 -9.7715788e+00 -1.5558812e+01 -1.2145488e+01 -1.3168559e+01
 -1.3519024e+01 -6.8970146e+00 -1.1607410e+01 -1.7051049e+00
 -6.0725574e+00  1.9689357e+00  5.9997183e-01  5.7236652e+00
  3.7821496e+00  4.0810103e+00  4.8792062e+00  2.0639062e-01
  4.3897839e+00  2.5258582e+00  7.0473261e+00  4.2939444e+00
  7.5021811e+00  6.6755939e+00  7.4302330e+00  5.8914657e+00]",dislike_to_learn
